Year,Division,Team,Wins,Losses
2023,West,Oakland Athletics,50.0,112
2024,East,New York Yankees,94.0,68
2024,East,Baltimore Orioles,91.0,71
2024,East,Boston Red Sox,81.0,81
2024,East,Tampa Bay Rays,80.0,82
2024,East,Toronto Blue Jays,74.0,88
2024,Central,Cleveland Guardians,92.0,69
2024,Central,Kansas City Royals,86.0,76
2024,Central,Detroit Tigers,86.0,76
2024,Central,Minnesota Twins,82.0,80
2024,Central,Chicago White Sox,41.0,121
2024,West,Houston Astros,88.0,73
2024,West,Seattle Mariners,85.0,77
2024,West,Texas Rangers,78.0,84
2024,West,Oakland Athletics,69.0,93
2024,West,Los Angeles Angels,63.0,99
2025,East,New York Yankees,42.0,25
2025,East,Toronto Blue Jays,38.0,30
2025,East,Tampa Bay Rays,36.0,32
2025,East,Boston Red Sox,34.0,36
2025,East,Baltimore Orioles,27.0,40
2025,Central,Detroit Tigers,45.0,25
2025,Central,Minnesota Twins,36.0,32
2025,Central,Cleveland Guardians,35.0,32
2025,Central,Kansas City Royals,34.0,35
2025,Central,Chicago White Sox,23.0,46
2025,West,Houston Astros,38.0,30
2025,West,Los Angeles Angels,33.0,34
2025,West,Seattle Mariners,33.0,34
2025,West,Texas Rangers,33.0,36
2025,West,Athletics,26.0,44
