Year,Statistic,Player,Team,Value
1988,Saves,Dennis Eckersley,Oakland,45.0
1988,Shutouts,Roger Clemens,Boston,8.0
1988,Strikeouts,Roger Clemens,Boston,291.0
1988,Winning Percentage,Frank Viola,Minnesota,0.774
1988,Wins,Frank Viola,Minnesota,24.0
1989,Complete Games,Bret Saberhagen,Kansas City,12.0
1989,ERA,Bret Saberhagen,Kansas City,2.16
1989,Games,Chuck Crim,Milwaukee,76.0
1989,Saves,Jeff Russell,Texas,38.0
1989,Shutouts,Bert Blyleven,California,5.0
1989,Strikeouts,Nolan Ryan,Texas,301.0
1989,Winning Percentage,Bret Saberhagen,Kansas City,0.793
1989,Wins,Bret Saberhagen,Kansas City,23.0
1990,Complete Games,Jack Morris,Detroit,11.0
1990,Complete Games,Dave Stewart,Oakland,11.0
1990,ERA,Roger Clemens,Boston,1.93
1990,Games,Bobby Thigpen,Chicago,77.0
1990,Saves,Bobby Thigpen,Chicago,57.0
1990,Shutouts,Roger Clemens,Boston,4.0
1990,Shutouts,Dave Stewart,Oakland,4.0
1990,Strikeouts,Nolan Ryan,Texas,269.0
1990,Winning Percentage,Bob Welch,Oakland,0.818
1990,Wins,Bob Welch,Oakland,27.0
1991,Complete Games,Jack McDowell,Chicago,15.0
1991,ERA,Roger Clemens,Boston,2.62
1991,Games,Duane Ward,Toronto,81.0
1991,Saves,Bryan Harvey,California,46.0
1991,Shutouts,Roger Clemens,Boston,4.0
1991,Strikeouts,Roger Clemens,Boston,241.0
1991,Winning Percentage,Scott Erickson,Minnesota,0.714
1991,Wins,Scott Erickson,Minnesota,20.0
1991,Wins,Bill Gullickson,Detroit,20.0
1992,Complete Games,Jack McDowell,Chicago,13.0
1992,ERA,Roger Clemens,Boston,2.41
1992,Games,Kenny Rogers,Texas,81.0
1992,Saves,Dennis Eckersley,Oakland,51.0
1992,Shutouts,Roger Clemens,Boston,5.0
1992,Strikeouts,Randy Johnson,Seattle,241.0
1992,Winning Percentage,Mike Mussina,Baltimore,0.783
1992,Wins,Kevin Brown,Texas,21.0
1992,Wins,Jack Morris,Toronto,21.0
1993,Complete Games,Chuck Finley,California,13.0
1993,ERA,Kevin Appier,Kansas City,2.56
1993,Games,Greg Harris,Boston,80.0
1993,Saves,Jeff Montgomery,Kansas City,45.0
1993,Saves,Duane Ward,Toronto,45.0
1993,Shutouts,Jack McDowell,Chicago,4.0
1993,Strikeouts,Randy Johnson,Seattle,308.0
1993,Winning Percentage,Jimmy Key,New York,0.75
1993,Wins,Jack McDowell,Chicago,22.0
1994,Complete Games,Randy Johnson,Seattle,9.0
1994,ERA,Steve Ontiveros,Oakland,2.65
1994,Games,Bob Wickman,New York,53.0
1994,Saves,Lee Smith,Baltimore,33.0
1994,Shutouts,Randy Johnson,Seattle,4.0
1994,Strikeouts,Randy Johnson,Seattle,204.0
1994,Winning Percentage,Jason Bere,Chicago,0.857
1994,Wins,Jimmy Key,New York,17.0
1995,Complete Games,Jack McDowell,New York,8.0
1995,ERA,Randy Johnson,Seattle,2.48
1995,Games,Jesse Orosco,Baltimore,65.0
1995,Saves,Jose Mesa,Cleveland,46.0
1995,Shutouts,Mike Mussina,Baltimore,4.0
1995,Strikeouts,Randy Johnson,Seattle,294.0
1995,Winning Percentage,Randy Johnson,Seattle,0.9
1995,Wins,Mike Mussina,Baltimore,19.0
1996,Complete Games,Pat Hentgen,Toronto,10.0
1996,ERA,Juan Guzman,Toronto,2.93
1996,Games,Eddie Guardado,Minnesota,83.0
1996,Games,Mike Myers,Detroit,83.0
1996,Saves,John Wetteland,New York,43.0
1996,Shutouts,Pat Hentgen,Toronto,3.0
1996,Shutouts,Ken Hill,Texas,3.0
1996,Shutouts,Rich Robertson,Minnesota,3.0
1996,Strikeouts,Roger Clemens,Boston,257.0
1996,Winning Percentage,Charles Nagy,Cleveland,0.773
1996,Wins,Andy Pettitte,New York,21.0
1997,Complete Games,Roger Clemens,Toronto,9.0
1997,Complete Games,Pat Hentgen,Toronto,9.0
1997,ERA,Roger Clemens,Toronto,2.05
1997,Games,Mike Myers,Detroit,88.0
1997,Saves,Randy Myers,Baltimore,45.0
1997,Shutouts,Roger Clemens,Toronto,3.0
1997,Shutouts,Pat Hentgen,Toronto,3.0
1997,Strikeouts,Roger Clemens,Toronto,292.0
1997,Winning Percentage,Randy Johnson,Seattle,0.833
1997,Wins,Roger Clemens,Toronto,21.0
1998,Complete Games,Scott Erickson,Baltimore,11.0
1998,ERA,Roger Clemens,Toronto,2.65
1998,Games,Sean Runyan,Detroit,88.0
1998,Saves,Tom Gordon,Boston,46.0
1998,Shutouts,David Wells,New York,5.0
1998,Strikeouts,Roger Clemens,Toronto,271.0
1998,Winning Percentage,David Wells,New York,0.818
1998,Wins,Roger Clemens,Toronto,20.0
1998,Wins,David Cone,New York,20.0
1998,Wins,Rick Helling,Texas,20.0
1999,Complete Games,David Wells,Toronto,7.0
1999,ERA,Pedro Martinez,Boston,2.07
1999,Games,Buddy Groom,Oakland,76.0
1999,Games,Bob Wells,Minnesota,76.0
1999,Saves,Mariano Rivera,New York,45.0
1999,Shutouts,Scott Erickson,Baltimore,3.0
1999,Strikeouts,Pedro Martinez,Boston,313.0
1999,Winning Percentage,Pedro Martinez,Boston,0.852
1999,Wins,Pedro Martinez,Boston,23.0
2000,Complete Games,David Wells,Toronto,9.0
2000,ERA,Pedro Martinez,Boston,1.74
2000,Games,Kelly Wunsch,Chicago,83.0
2000,Saves,Todd Jones,Detroit,42.0
2000,Saves,Derek Lowe,Boston,42.0
2000,Shutouts,Pedro Martinez,Boston,4.0
2000,Strikeouts,Pedro Martinez,Boston,284.0
2000,Winning Percentage,Tim Hudson,Oakland,0.769
2000,Wins,Tim Hudson,Oakland,20.0
2000,Wins,David Wells,Toronto,20.0
2001,Complete Games,Steve Sparks,Detroit,8.0
2001,ERA,Freddy Garcia,Seattle,3.05
2001,Games,Paul Quantrill,Toronto,80.0
2001,Saves,Mariano Rivera,New York,50.0
2001,Shutouts,Mark Mulder,Oakland,4.0
2001,Strikeouts,Hideo Nomo,Boston,220.0
2001,Winning Percentage,Roger Clemens,New York,0.87
2001,Wins,Mark Mulder,Oakland,21.0
2002,Complete Games,Paul Byrd,Kansas City,7.0
2002,ERA,Pedro Martinez,Boston,2.26
2002,Games,Billy Koch,Oakland,84.0
2002,Saves,Eddie Guardado,Minnesota,45.0
2002,Shutouts,Jeff Weaver,New York,3.0
2002,Strikeouts,Pedro Martinez,Boston,239.0
2002,Winning Percentage,Pedro Martinez,Boston,0.833
2002,Wins,Barry Zito,Oakland,23.0
2003,Complete Games,Bartolo Colon,Chicago,9.0
2003,Complete Games,Roy Halladay,Toronto,9.0
2003,Complete Games,Mark Mulder,Oakland,9.0
2003,ERA,Pedro Martinez,Boston,2.22
2003,Games,Trever Miller,Toronto,79.0
2003,Saves,Keith Foulke,Oakland,43.0
2003,Shutouts,Roy Halladay,Toronto,2.0
2003,Shutouts,Tim Hudson,Oakland,2.0
2003,Shutouts,John Lackey,Anaheim,2.0
2003,Shutouts,Mark Mulder,Oakland,2.0
2003,Shutouts,Joel Pineiro,Seattle,2.0
2003,Strikeouts,Esteban Loaiza,Chicago,207.0
2003,Winning Percentage,Roy Halladay,Toronto,0.759
2003,Wins,Roy Halladay,Toronto,22.0
2004,Complete Games,Mark Mulder,Oakland,5.0
2004,Complete Games,Sidney Ponson,Baltimore,5.0
2004,Complete Games,Jake Westbrook,Cleveland,5.0
2004,ERA,Johan Santana,Minnesota,2.61
2004,Games,Paul Quantrill,New York,86.0
2004,Saves,Mariano Rivera,New York,53.0
2004,Shutouts,Jeremy Bonderman,Detroit,2.0
2004,Shutouts,Tim Hudson,Oakland,2.0
2004,Shutouts,Sidney Ponson,Baltimore,2.0
2004,Strikeouts,Johan Santana,Minnesota,265.0
2004,Winning Percentage,Curt Schilling,Boston,0.778
2004,Wins,Curt Schilling,Boston,21.0
2005,Complete Games,Roy Halladay,Toronto,5.0
2005,ERA,Kevin Millwood,Cleveland,2.86
2005,Games,Mike Timlin,Boston,81.0
2005,Saves,Francisco Rodriguez,Los Angeles,45.0
2005,Saves,Bob Wickman,Cleveland,45.0
2005,Shutouts,Jon Garland,Chicago,3.0
2005,Strikeouts,Johan Santana,Minnesota,238.0
2005,Winning Percentage,Cliff Lee,Cleveland,0.783
2005,Wins,Bartolo Colon,Los Angeles,21.0
2006,Complete Games,C.C. Sabathia,Cleveland,6.0
2006,ERA,Johan Santana,Minnesota,2.77
2006,Games,Scott Proctor,New York,83.0
2006,Saves,Francisco Rodriguez,Los Angeles,47.0
2006,Shutouts,John Lackey,Los Angeles,2.0
2006,Shutouts,C.C. Sabathia,Cleveland,2.0
2006,Shutouts,Jeremy Sowers,Cleveland,2.0
2006,Shutouts,Jake Westbrook,Cleveland,2.0
2006,Strikeouts,Johan Santana,Minnesota,245.0
2006,Winning Percentage,Roy Halladay,Toronto,0.762
2006,Wins,Johan Santana,Minnesota,19.0
2006,Wins,Chien-Ming Wang,New York,19.0
2007,Complete Games,Roy Halladay,Toronto,7.0
2007,ERA,John Lackey,Los Angeles,3.01
2007,Games,Jamie Walker,Baltimore,81.0
2007,Saves,Joe Borowski,Cleveland,45.0
2007,Shutouts,Paul Byrd,Cleveland,2.0
2007,Shutouts,Jose Contreras,Chicago,2.0
2007,Shutouts,John Lackey,Cleveland,2.0
2007,Shutouts,Jeff Weaver,Seattle,2.0
2007,Strikeouts,Scott Kazmir,Tampa Bay,239.0
2007,Winning Percentage,Justin Verlander,Detroit,0.762
2007,Wins,Josh Beckett,Boston,20.0
2008,Complete Games,Roy Halladay,Toronto,9.0
2008,ERA,Cliff Lee,Cleveland,2.54
2008,Games,Matt Guerrier,Minnesota,76.0
2008,Games,Francisco Rodriguez,Los Angeles,76.0
2008,Saves,Francisco Rodriguez,Los Angeles,62.0
2008,Shutouts,Matt Garza,Tampa Bay,2.0
2008,Shutouts,Roy Halladay,Toronto,2.0
2008,Shutouts,Cliff Lee,Cleveland,2.0
2008,Shutouts,Jon Lester,Boston,2.0
2008,Shutouts,Jesse Litsch,Toronto,2.0
2008,Shutouts,C.C. Sabathia,Cleveland,2.0
2008,Shutouts,James Shields,Tampa Bay,2.0
2008,Shutouts,Kevin Slowey,Minnesota,2.0
2008,Strikeouts,A.J. Burnett,Toronto,231.0
2008,Winning Percentage,Cliff Lee,Cleveland,0.88
2008,Wins,Cliff Lee,Cleveland,22.0
2009,Complete Games,Roy Halladay,Toronto,9.0
2009,ERA,Zack Greinke,Kansas City,2.16
2009,Games,Matt Guerrier,Minnesota,79.0
2009,Saves,Brian Fuentes,Los Angeles,48.0
2009,Shutouts,Roy Halladay,Toronto,4.0
2009,Strikeouts,Justin Verlander,Detroit,269.0
2009,Winning Percentage,Felix Hernandez,Seattle,0.792
2009,Wins,Felix Hernandez,Seattle,19.0
2009,Wins,C.C. Sabathia,New York,19.0
2009,Wins,Justin Verlander,Detroit,19.0
2010,Complete Games,Cliff Lee,Seattle / Texas,7.0
2010,Complete Games,Carl Pavano,Minnesota,7.0
2010,ERA,Felix Hernandez,Seattle,2.27
2010,Games,Randy Choate,Tampa Bay,85.0
2010,Saves,Rafael Soriano,Tampa Bay,45.0
2010,Shutouts,Dallas Braden,Oakland,2.0
2010,Shutouts,Carl Pavano,Minnesota,2.0
2010,Strikeouts,Jered Weaver,Los Angeles,233.0
2010,Winning Percentage,Tommy Hunter,Texas,0.765
2010,Wins,C.C. Sabathia,New York,21.0
2011,Complete Games,James Shields,Tampa Bay,11.0
2011,ERA,Justin Verlander,Detroit,2.4
2011,Games,Jose Valverde,Detroit,75.0
2011,Saves,Jose Valverde,Detroit,49.0
2011,Shutouts,Derek Holland,Texas,4.0
2011,Shutouts,James Shields,Tampa Bay,4.0
2011,Strikeouts,Justin Verlander,Detroit,250.0
2011,Winning Percentage,Justin Verlander,Detroit,0.828
2011,Wins,Justin Verlander,Detroit,24.0
2012,Complete Games,Justin Verlander,Detroit,6.0
2012,ERA,David Price,Tampa Bay,2.56
2012,Games,Boone Logan,New York,80.0
2012,Saves,Jim Johnson,Baltimore,51.0
2012,Shutouts,Felix Hernandez,Seattle,5.0
2012,Strikeouts,Justin Verlander,Detroit,239.0
2012,Winning Percentage,David Price,Tampa Bay,0.8
2012,Winning Percentage,Jered Weaver,Los Angeles,0.8
2012,Wins,David Price,Tampa Bay,20.0
2012,Wins,Jered Weaver,Los Angeles,20.0
2013,Complete Games,David Price,Tampa Bay,4.0
2013,Complete Games,Chris Sale,Chicago,4.0
2013,ERA,Anibal Sanchez,Detroit,2.57
2013,Games,Joel Peralta,Tampa Bay,80.0
2013,Saves,Jim Johnson,Baltimore,50.0
2013,Shutouts,Bartolo Colon,Oakland,3.0
2013,Shutouts,Justin Masterson,Cleveland,3.0
2013,Strikeouts,Yu Darvish,Texas,277.0
2013,Winning Percentage,Max Scherzer,Detroit,0.875
2013,Wins,Max Scherzer,Detroit,21.0
2014,Complete Games,Dallas Keuchel,Houston,5.0
2014,ERA,Felix Hernandez,Seattle,2.14
2014,Games,Bryan Shaw,Cleveland,80.0
2014,Saves,Fernando Rodney,Seattle,48.0
2014,Shutouts,Rick Porcello,Detroit,3.0
